sentenceIndex,PERSON,CREDIT_CARD,STREET_ADDRESS,US_SSN
3,2,0,0,0
6,0,1,0,0
7,1,0,0,0
8,0,0,0,1
9,1,0,0,0
10,1,0,0,0
17,1,0,0,0
22,1,0,0,0
24,1,0,0,0
25,1,0,0,0
26,1,0,0,0
29,1,0,0,0
32,0,1,0,0
40,1,0,0,0
45,1,0,0,0
46,0,1,0,0
47,1,0,0,0
50,1,0,0,0
51,1,0,0,0
52,1,0,0,0
53,0,1,0,0
58,1,0,0,0
65,1,0,0,0
66,1,0,0,0
67,1,0,0,0
68,0,0,0,1
74,1,0,0,0
76,2,0,0,0
79,1,0,0,0
80,2,0,0,0
83,1,0,0,0
91,1,0,0,0
94,1,0,0,0
95,0,1,0,0
108,0,1,0,0
115,1,0,0,0
116,0,1,0,0
125,1,0,0,0
126,0,1,0,0
127,1,0,0,0
133,1,0,0,0
135,1,0,0,0
141,1,0,0,0
145,1,0,0,0
150,1,0,0,0
151,0,1,0,0
152,1,0,0,0
153,0,1,0,0
154,1,0,0,0
155,0,0,0,1
158,1,0,0,0
160,1,0,0,0
169,1,0,0,0
172,0,1,0,0
181,1,0,0,0
188,1,0,0,0
205,1,0,0,0
206,1,0,0,0
208,1,0,0,0
213,0,1,0,0
216,1,0,0,0
219,1,0,0,0
221,0,1,0,0
226,1,0,0,0
231,1,0,0,0
237,1,0,0,0
248,2,0,0,0
249,1,0,0,0
251,0,0,0,1
252,1,0,0,0
254,0,1,0,0
257,1,1,0,0
258,1,0,0,0
262,1,0,0,0
263,1,0,0,0
269,1,0,0,0
271,1,0,0,0
289,0,1,0,0
290,2,0,0,0
298,1,0,0,0
308,0,1,0,0
313,1,0,0,0
315,1,0,0,0
319,0,1,0,0
324,0,0,0,1
332,0,1,0,0
334,2,0,0,0
338,1,0,0,0
341,2,0,0,0
342,0,0,0,1
344,1,0,0,0
348,1,0,0,0
351,1,0,0,0
359,0,1,0,0
360,1,0,0,0
363,0,1,0,0
366,1,0,0,0
367,1,0,0,0
369,0,1,0,0
375,0,1,0,0
380,1,0,0,0
382,1,0,0,0
387,1,0,0,0
388,1,0,0,0
389,1,0,0,0
390,0,1,0,0
393,1,0,0,0
395,1,0,0,0
397,1,0,0,0
398,1,0,0,0
399,1,0,0,0
400,1,0,0,0
401,0,1,0,0
404,0,1,0,0
405,0,1,0,0
410,1,0,0,0
412,1,0,0,0
413,1,0,0,0
416,0,1,0,0
421,1,0,0,0
425,1,0,0,0
427,1,0,0,0
428,1,0,0,0
430,1,0,0,0
431,1,0,0,0
434,0,1,0,0
435,1,0,0,0
436,1,0,0,0
437,1,0,0,0
441,0,1,0,0
453,0,0,0,1
455,1,0,0,0
462,1,0,0,0
468,0,1,0,0
469,1,0,0,0
470,2,0,0,0
473,1,0,0,0
478,1,0,0,0
479,1,0,0,0
487,1,0,0,0
492,1,0,0,0
493,1,0,0,0
497,1,0,0,0
499,1,0,0,0
502,0,1,0,0
505,1,0,0,0
506,1,0,0,0
508,1,0,0,0
510,1,0,0,0
511,1,0,0,0
515,1,0,0,0
516,1,0,0,0
522,1,0,0,0
524,1,0,0,0
525,1,0,0,0
527,1,0,0,0
536,1,0,0,0
543,1,0,0,0
546,1,0,0,0
549,1,0,0,0
554,1,0,0,0
560,1,0,0,0
562,1,0,0,0
564,1,0,0,0
565,2,0,0,0
567,1,0,0,0
572,0,1,0,0
573,1,0,0,0
578,0,1,0,0
580,0,1,0,0
583,1,0,0,0
584,1,0,0,0
588,1,0,0,0
591,0,1,0,0
594,1,0,0,0
599,2,0,0,0
606,0,1,0,0
609,0,1,0,0
613,0,1,0,0
615,2,0,0,0
618,1,0,0,0
619,0,1,0,0
620,1,0,0,0
623,0,1,0,0
626,2,0,0,0
633,1,0,0,0
635,1,0,0,0
639,1,0,0,0
640,1,0,0,0
645,0,0,0,1
647,0,1,0,0
648,1,0,0,0
651,1,0,0,0
